Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2015,0.583,0.591,0.593,0.597,0.582,0.574,0.581,0.580,0.580,0.577,0.575,0.580
2016,0.581,0.573,0.586,0.574,0.570,0.569,0.567,0.562,0.575,0.570,0.573,0.576
2017,0.573,0.573,0.571,0.571,0.564,0.572,0.565,0.561,0.544,0.548,0.551,0.558
2018,0.568,0.574,0.582,0.578,0.575,0.575,0.575,0.569,0.573,0.574,0.566,0.577
2019,0.576,0.571,0.581,0.567,0.579,0.574,0.569,0.578,0.569,0.573,0.573,0.573
2020,0.570,0.574,0.576,0.581,0.589,0.588,0.580,0.576,0.574,0.577,0.578,0.572
2021,0.597,0.590,0.594,0.604,0.600,0.595,0.594,0.589,0.597,0.600,0.619,0.622
2022,0.630,0.628,0.642,0.637,0.642,0.640,0.640,0.643,0.643,0.634,0.631,0.628
2023,0.639,0.641,0.632,0.635,0.628,0.625,0.631,0.631,0.625,0.626,0.627,0.625
2024,0.617,0.625,0.629,0.626,0.622,0.625,0.613,0.612,0.617,0.619,0.622,0.615
