Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2015,1.546,1.550,1.545,1.539,1.483,1.515,1.487,1.428,1.415,1.430,1.484,1.437
2016,1.429,1.478,1.463,1.496,1.489,1.408,1.445,1.426,1.487,1.502,1.478,1.463
2017,1.418,1.473,1.462,1.444,1.499,1.497,1.496,1.489,1.480,1.484,1.451,1.470
2018,1.509,1.478,1.502,1.511,1.523,1.514,1.519,1.511,1.487,1.444,1.501,1.466
2019,1.473,1.486,1.468,1.463,1.479,1.590,1.562,1.514,1.487,1.538,1.430,1.450
2020,1.409,1.362,1.400,1.571,,1.747,1.712,1.609,1.542,1.580,1.639,1.621
2021,1.595,1.583,1.543,1.515,1.486,1.474,1.435,1.472,1.504,1.523,1.583,1.606
2022,1.622,1.632,1.724,1.794,1.824,1.826,1.880,1.879,1.891,1.863,1.843,1.830
2023,1.855,1.894,1.868,1.873,1.920,1.953,1.891,1.958,1.901,1.926,1.976,1.955
2024,1.987,1.951,1.991,1.953,2.013,2.007,1.988,1.988,1.979,1.987,2.076,2.061

