Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2015,2.113,2.088,2.133,2.065,1.962,2.570,2.570,2.943,2.966,2.808,2.664,2.751
2016,2.328,2.267,2.081,1.793,1.684,1.491,1.546,1.455,1.471,1.390,1.321,1.383
2017,1.599,1.464,1.404,1.409,1.414,1.332,1.333,1.367,1.422,1.540,1.506,1.815
2018,1.769,1.755,1.831,2.081,1.987,1.628,1.725,1.622,1.651,1.660,1.596,1.595
2019,1.554,1.557,1.544,1.463,1.362,1.203,1.243,1.219,1.383,1.282,1.405,1.535
2020,1.461,1.449,1.525,2.019,1.640,1.554,1.401,1.328,1.353,1.408,1.450,1.481
2021,1.466,1.597,1.625,1.620,1.625,1.642,1.642,1.709,1.835,1.821,1.718,1.788
2022,1.929,2.005,2.046,2.520,2.863,2.707,2.936,3.116,2.902,3.419,3.589,4.250
2023,4.823,4.211,3.446,3.270,2.666,2.219,2.094,2.043,2.065,2.072,2.138,2.507
2024,2.522,2.996,2.992,2.864,2.699,2.715,3.080,3.204,3.821,3.370,3.649,4.146

