Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2015,0.692,0.689,0.670,0.670,0.676,0.691,0.673,0.669,0.662,0.690,0.732,0.711
2016,0.709,0.707,0.711,0.703,0.747,0.734,0.740,0.729,0.721,0.697,0.703,0.693
2017,0.700,0.695,0.692,0.686,0.726,0.752,0.764,0.753,0.741,0.723,0.712,0.711
2018,0.682,0.691,0.682,0.685,0.698,0.689,0.690,0.705,0.693,0.685,0.711,0.712
2019,0.730,0.762,0.757,0.767,0.761,0.801,0.798,0.793,0.797,0.773,0.721,0.714
2020,0.716,0.734,0.733,,0.748,0.749,0.772,0.769,0.777,0.766,0.791,0.789
2021,0.794,0.779,0.772,0.785,0.801,0.778,0.782,0.784,0.798,0.788,0.844,0.820
2022,0.832,0.830,0.871,0.900,0.909,0.924,0.929,0.925,0.939,0.963,0.963,0.971
2023,0.970,0.959,0.982,0.980,0.997,1.003,1.006,0.997,0.981,0.960,0.992,0.990
2024,1.000,1.001,1.014,1.025,1.002,1.018,1.039,1.085,1.078,1.056,1.061,1.032
