Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2015,2.089,1.849,1.819,1.847,1.740,1.708,1.777,1.737,1.775,1.844,1.977,1.932
2016,2.528,2.316,1.941,1.862,1.695,1.709,1.635,1.685,1.786,1.994,1.984,1.972
2017,2.048,1.930,1.943,1.902,1.867,1.873,1.952,1.846,1.828,1.813,1.933,2.237
2018,2.336,2.026,1.868,1.802,1.675,1.706,1.887,1.737,1.826,1.901,2.057,2.175
2019,2.227,2.068,2.079,1.947,1.823,1.812,1.799,1.864,1.911,1.779,1.903,1.954
2020,2.221,2.197,,,1.851,1.922,1.977,1.874,1.847,1.911,1.935,1.893
2021,1.928,1.838,1.768,1.786,1.804,1.830,1.827,1.858,1.828,1.892,1.924,1.906
2022,1.892,1.826,1.827,1.794,1.819,1.842,1.842,1.890,1.901,1.974,2.107,2.228
2023,2.110,1.990,1.932,1.874,1.798,1.911,1.896,1.877,1.844,1.865,1.942,1.995
2024,2.146,2.132,2.044,1.962,1.859,1.843,1.945,1.996,1.936,1.980,2.030,2.067
